rang;type_de_document;nombre_de_reservations;titre_avec_lien_vers_le_catalogue;auteur
70;Nouveauté;178;Sombre dimanche : roman;Zeniter, Alice
74;Nouveauté;171;Il faut beaucoup aimer les hommes : roman;Darrieussecq, Marie
77;Nouveauté;167;L'échange des princesses;Thomas, Chantal
82;DVD-vidéo tous publics;159;Starbuck;
92;Nouveauté;151;La première chose qu'on regarde : roman;Delacourt, Grégoire
93;;150;Cinq jours;Kennedy, Douglas
98;DVD-vidéo tous publics;144;Gatsby le Magnifique;Clayton, Jack
103;DVD-vidéo tous publics;139;L'odyssée de Pi;
109;Livre pour adulte;133;Un héros;Herzog, Félicité
110;DVD-vidéo tous publics;133;Laurence Anyways;
118;Bande dessinée pour adulte;129;Terrifiant;Kirkman, Robert
124;;126;La rose écarlate. 7. Tu seras toujours à moi;Lyfoung, Patricia
132;Livre pour adulte;123;Petit traité de l'abandon : pensées pour accueillir la vie telle qu'elle se propose;Jollien, Alexandre
134;;123;Remonter la Marne;Kauffmann, Jean-Paul
141;Livre pour adulte;119;Le prédicateur;Läckberg, Camilla
146;Nouveauté disque compact;118;Cheese;Stromae
147;DVD-vidéo tous publics;117;THE artist;
150;DVD-vidéo tous publics;117;Oblivion;
152;DVD-vidéo tous publics;116;the Tree of Life;
156;Bande dessinée jeunesse >12 ans;114;J'irai où tu iras;Lyfoung, Patricia
161;DVD-vidéo tous publics;113;Game of Thrones : saison 2;
166;Nouveauté;112;Une part de ciel;Gallay, Claudie
173;Livre jeunesse;110;Le fils de Neptune;Riordan, Rick
175;;110;Mapuche;Férey, Caryl
177;Livre pour adulte;110;Italie du Sud : sans Rome ni la Sicile : 2013;Gloaguen, Philippe
185;Bande dessinée jeunesse;108;Le gardien;Sobral, Patrick
190;DVD-vidéo tous publics;107;L'exercice de l'Etat;
196;DVD-vidéo tous publics;106;Homeland. Saison 1. épisodes 1 à 6;
206;DVD-vidéo tous publics;103;La taupe;
210;DVD-vidéo tous publics;102;Piégée;
214;Livre pour adulte;101;Londres : 2013;Gloaguen, Philippe
217;Bande dessinée jeunesse;100;Frères ennemis;Sobral, Patrick
219;Bande dessinée jeunesse >12 ans;100;Je serai toujours avec toi;Lyfoung, Patricia
223;;99;Cet instant-là;Kennedy, Douglas
224;Nouveauté disque compact;99;Love songs;Paradis, Vanessa
225;DVD-vidéo tous publics;98;La guerre est déclarée;
226;;98;La vérité toute moche : grandir ou ne pas grandir, telle est la question !;Kinney, Jeff
232;Nouveauté;97;Si c'était à refaire : roman;Lévy, Marc
234;Livre pour adulte;97;Fantôme;Nesbo, Jo
245;DVD-vidéo tous publics;94;True Grit;
246;;94;Les Légendaires. 14. L'héritage du mal;Sobral, Patrick
248;DVD-vidéo tous publics;94;A Dangerous Method;
257;DVD-vidéo tous publics;92;Quelques heures de printemps;
260;Bande dessinée jeunesse >12 ans;91;Duel de belles;Delaf
262;Bande dessinée pour adulte;90;Cette vie derrière nous;Kirkman, Robert
267;Nouveauté;90;La théorie de l'information : roman;Bellanger, Aurélien
271;Nouveauté;89;Les pays : roman;Lafon, Marie-Hélène
275;DVD-vidéo tous publics;89;Wadjda;
