id_compteur;nom_compteur;id;name;sum_counts;date;installation_date;coordinates;counter;
100007049-101007049;28 boulevard Diderot O-E;100007049;28 boulevard Diderot;37.0;2022-11-11T00:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-101007049;28 boulevard Diderot O-E;100007049;28 boulevard Diderot;18.0;2022-11-11T07:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-101007049;28 boulevard Diderot O-E;100007049;28 boulevard Diderot;41.0;2022-11-11T13:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-101007049;28 boulevard Diderot O-E;100007049;28 boulevard Diderot;53.0;2022-11-11T14:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-101007049;28 boulevard Diderot O-E;100007049;28 boulevard Diderot;82.0;2022-11-11T18:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-101007049;28 boulevard Diderot O-E;100007049;28 boulevard Diderot;63.0;2022-11-11T19:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-101007049;28 boulevard Diderot O-E;100007049;28 boulevard Diderot;47.0;2022-11-11T20:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-101007049;28 boulevard Diderot O-E;100007049;28 boulevard Diderot;35.0;2022-11-11T01:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-101007049;28 boulevard Diderot O-E;100007049;28 boulevard Diderot;8.0;2022-11-11T03:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-101007049;28 boulevard Diderot O-E;100007049;28 boulevard Diderot;8.0;2022-11-11T04:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-101007049;28 boulevard Diderot O-E;100007049;28 boulevard Diderot;32.0;2022-11-11T11:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-101007049;28 boulevard Diderot O-E;100007049;28 boulevard Diderot;63.0;2022-11-11T12:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-101007049;28 boulevard Diderot O-E;100007049;28 boulevard Diderot;67.0;2022-11-11T16:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-101007049;28 boulevard Diderot O-E;100007049;28 boulevard Diderot;80.0;2022-11-11T17:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-101007049;28 boulevard Diderot O-E;100007049;28 boulevard Diderot;32.0;2022-11-11T22:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-101007049;28 boulevard Diderot O-E;100007049;28 boulevard Diderot;26.0;2022-11-11T02:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-101007049;28 boulevard Diderot O-E;100007049;28 boulevard Diderot;7.0;2022-11-11T05:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-101007049;28 boulevard Diderot O-E;100007049;28 boulevard Diderot;7.0;2022-11-11T06:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-101007049;28 boulevard Diderot O-E;100007049;28 boulevard Diderot;24.0;2022-11-11T08:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-101007049;28 boulevard Diderot O-E;100007049;28 boulevard Diderot;35.0;2022-11-11T09:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-101007049;28 boulevard Diderot O-E;100007049;28 boulevard Diderot;34.0;2022-11-11T10:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-101007049;28 boulevard Diderot O-E;100007049;28 boulevard Diderot;63.0;2022-11-11T15:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-101007049;28 boulevard Diderot O-E;100007049;28 boulevard Diderot;34.0;2022-11-11T21:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100007049-101007049;28 boulevard Diderot O-E;100007049;28 boulevard Diderot;25.0;2022-11-11T23:00:00+01:00;2013-01-18;48.84613,2.37559;Y2H21015011;
100036718-104036718;39 quai François Mauriac NO-SE;100036718;39 quai François Mauriac;33.0;2022-11-11T01:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-104036718;39 quai François Mauriac NO-SE;100036718;39 quai François Mauriac;12.0;2022-11-11T08:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-104036718;39 quai François Mauriac NO-SE;100036718;39 quai François Mauriac;34.0;2022-11-11T09:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-104036718;39 quai François Mauriac NO-SE;100036718;39 quai François Mauriac;54.0;2022-11-11T12:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-104036718;39 quai François Mauriac NO-SE;100036718;39 quai François Mauriac;77.0;2022-11-11T16:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-104036718;39 quai François Mauriac NO-SE;100036718;39 quai François Mauriac;70.0;2022-11-11T19:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-104036718;39 quai François Mauriac NO-SE;100036718;39 quai François Mauriac;38.0;2022-11-11T22:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-104036718;39 quai François Mauriac NO-SE;100036718;39 quai François Mauriac;51.0;2022-11-11T23:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-104036718;39 quai François Mauriac NO-SE;100036718;39 quai François Mauriac;15.0;2022-11-11T03:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-104036718;39 quai François Mauriac NO-SE;100036718;39 quai François Mauriac;5.0;2022-11-11T07:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-104036718;39 quai François Mauriac NO-SE;100036718;39 quai François Mauriac;37.0;2022-11-11T10:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-104036718;39 quai François Mauriac NO-SE;100036718;39 quai François Mauriac;44.0;2022-11-11T13:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-104036718;39 quai François Mauriac NO-SE;100036718;39 quai François Mauriac;57.0;2022-11-11T14:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-104036718;39 quai François Mauriac NO-SE;100036718;39 quai François Mauriac;66.0;2022-11-11T15:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-104036718;39 quai François Mauriac NO-SE;100036718;39 quai François Mauriac;79.0;2022-11-11T17:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-104036718;39 quai François Mauriac NO-SE;100036718;39 quai François Mauriac;53.0;2022-11-11T20:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-104036718;39 quai François Mauriac NO-SE;100036718;39 quai François Mauriac;40.0;2022-11-11T21:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-104036718;39 quai François Mauriac NO-SE;100036718;39 quai François Mauriac;62.0;2022-11-11T00:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-104036718;39 quai François Mauriac NO-SE;100036718;39 quai François Mauriac;29.0;2022-11-11T02:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-104036718;39 quai François Mauriac NO-SE;100036718;39 quai François Mauriac;12.0;2022-11-11T04:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-104036718;39 quai François Mauriac NO-SE;100036718;39 quai François Mauriac;15.0;2022-11-11T05:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-104036718;39 quai François Mauriac NO-SE;100036718;39 quai François Mauriac;9.0;2022-11-11T06:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-104036718;39 quai François Mauriac NO-SE;100036718;39 quai François Mauriac;40.0;2022-11-11T11:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-104036718;39 quai François Mauriac NO-SE;100036718;39 quai François Mauriac;82.0;2022-11-11T18:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-103036718;39 quai François Mauriac SE-NO;100036718;39 quai François Mauriac;25.0;2022-11-11T00:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-103036718;39 quai François Mauriac SE-NO;100036718;39 quai François Mauriac;16.0;2022-11-11T01:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-103036718;39 quai François Mauriac SE-NO;100036718;39 quai François Mauriac;7.0;2022-11-11T02:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-103036718;39 quai François Mauriac SE-NO;100036718;39 quai François Mauriac;4.0;2022-11-11T04:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-103036718;39 quai François Mauriac SE-NO;100036718;39 quai François Mauriac;10.0;2022-11-11T05:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-103036718;39 quai François Mauriac SE-NO;100036718;39 quai François Mauriac;12.0;2022-11-11T06:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-103036718;39 quai François Mauriac SE-NO;100036718;39 quai François Mauriac;57.0;2022-11-11T09:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-103036718;39 quai François Mauriac SE-NO;100036718;39 quai François Mauriac;68.0;2022-11-11T10:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-103036718;39 quai François Mauriac SE-NO;100036718;39 quai François Mauriac;79.0;2022-11-11T11:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-103036718;39 quai François Mauriac SE-NO;100036718;39 quai François Mauriac;107.0;2022-11-11T15:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-103036718;39 quai François Mauriac SE-NO;100036718;39 quai François Mauriac;129.0;2022-11-11T16:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-103036718;39 quai François Mauriac SE-NO;100036718;39 quai François Mauriac;87.0;2022-11-11T17:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-103036718;39 quai François Mauriac SE-NO;100036718;39 quai François Mauriac;26.0;2022-11-11T22:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
100036718-103036718;39 quai François Mauriac SE-NO;100036718;39 quai François Mauriac;26.0;2022-11-11T23:00:00+01:00;2017-07-12;48.83436,2.377;Y2H21015068;
