time;gFx;gFy;gFz;ax;ay;az;wx;wy;wz;P
1.919;0.02;0.00;1.00;-0.00;-0.00;0.00;-0.00;-0.00;0.00;0.00
1.919;0.02;0.00;1.00;-0.00;-0.00;0.00;-0.00;-0.00;0.00;0.00
1.944;0.02;0.00;1.00;-0.00;-0.00;0.00;0.00;-0.00;-0.00;0.00
1.953;0.02;0.00;1.00;0.00;-0.00;0.01;0.00;-0.00;-0.00;0.00
1.989;0.02;0.00;1.00;0.00;-0.00;0.01;0.00;-0.00;-0.00;0.00
1.99;0.02;0.01;1.00;0.00;-0.00;0.01;0.00;-0.00;-0.00;0.00
1.991;0.03;0.00;1.00;0.00;-0.00;0.01;0.00;-0.00;-0.00;0.00
2.005;0.03;0.00;1.00;0.00;-0.00;0.01;0.00;-0.00;-0.00;0.00
2.014;0.03;0.00;1.00;-0.00;0.00;-0.00;0.00;-0.00;-0.00;0.00
2.059;0.03;0.01;1.00;-0.00;0.00;-0.00;0.00;-0.00;-0.00;0.00
2.06;0.02;0.01;1.00;-0.00;0.00;-0.00;0.00;-0.00;-0.00;0.00
2.06;0.02;0.00;1.00;-0.00;0.00;-0.00;0.00;-0.00;-0.00;0.00
2.061;0.03;0.00;1.00;-0.00;0.00;-0.00;0.00;-0.00;-0.00;0.00
2.063;0.03;0.00;1.00;-0.00;0.00;-0.00;0.00;-0.00;-0.00;0.00
2.074;0.03;0.00;1.00;0.00;0.00;-0.00;0.00;-0.00;-0.00;0.00
2.125;0.03;0.00;1.00;0.00;0.00;-0.00;0.00;-0.00;0.00;0.00
2.129;0.02;0.00;1.00;0.00;0.00;-0.00;0.00;-0.00;0.00;0.00
2.129;0.02;0.00;1.00;0.00;0.00;-0.00;0.00;-0.00;0.00;0.00
2.13;0.02;0.00;1.00;0.00;0.00;-0.00;0.00;-0.00;0.00;0.00
2.14;0.02;0.00;1.00;-0.00;-0.01;-0.01;0.00;-0.00;0.00;0.00
2.184;0.02;0.00;1.00;-0.00;-0.01;-0.01;-0.00;0.00;0.00;0.00
2.194;0.02;0.00;1.00;-0.00;-0.00;-0.01;-0.00;0.00;0.00;0.00
2.195;0.03;0.01;1.00;-0.00;-0.00;-0.01;-0.00;0.00;0.00;0.00
2.196;0.02;0.00;1.00;-0.00;-0.00;-0.01;-0.00;0.00;0.00;0.00
2.197;0.02;0.00;1.00;-0.00;-0.00;-0.01;-0.00;0.00;0.00;0.00
2.198;0.03;0.00;1.00;-0.00;-0.00;-0.01;-0.00;0.00;0.00;0.00
2.245;0.03;0.00;1.00;-0.00;-0.00;-0.01;0.00;-0.00;0.00;0.00
2.259;0.03;0.00;1.00;0.00;-0.00;-0.00;0.00;-0.00;0.00;0.00
2.272;0.02;0.01;1.00;0.00;-0.00;-0.00;0.00;-0.00;0.00;0.00
2.273;0.02;0.00;1.00;0.00;-0.00;-0.00;0.00;-0.00;0.00;0.00
2.273;0.02;0.00;1.00;0.00;-0.00;-0.00;0.00;-0.00;0.00;0.00
2.305;0.02;0.00;1.00;0.00;-0.00;-0.00;-0.00;0.00;-0.00;0.00
2.317;0.02;0.00;1.00;0.00;0.00;-0.00;-0.00;0.00;-0.00;0.00
2.338;0.02;0.00;1.00;0.00;0.00;-0.00;-0.00;0.00;-0.00;0.00
2.339;0.03;0.01;1.00;0.00;0.00;-0.00;-0.00;0.00;-0.00;0.00
2.34;0.02;0.00;1.00;0.00;0.00;-0.00;-0.00;0.00;-0.00;0.00
2.341;0.02;0.00;1.00;0.00;0.00;-0.00;-0.00;0.00;-0.00;0.00
2.365;0.02;0.00;1.00;0.00;0.00;-0.00;0.00;0.00;-0.00;0.00
2.376;0.02;0.00;1.00;0.00;-0.01;0.01;0.00;0.00;-0.00;0.00
2.41;0.03;0.01;1.00;0.00;-0.01;0.01;0.00;0.00;-0.00;0.00
2.411;0.02;0.01;1.00;0.00;-0.01;0.01;0.00;0.00;-0.00;0.00
2.412;0.03;0.00;1.00;0.00;-0.01;0.01;0.00;0.00;-0.00;0.00
2.425;0.03;0.00;1.00;0.00;-0.01;0.01;0.00;-0.00;-0.00;0.00
2.435;0.03;0.00;1.00;0.01;-0.00;0.00;0.00;-0.00;-0.00;0.00
2.478;0.02;0.00;1.00;0.01;-0.00;0.00;0.00;-0.00;-0.00;0.00
2.48;0.02;0.00;1.00;0.01;-0.00;0.00;0.00;-0.00;-0.00;0.00
2.48;0.02;0.00;1.00;0.01;-0.00;0.00;0.00;-0.00;-0.00;0.00
2.481;0.02;0.00;1.00;0.01;-0.00;0.00;0.00;-0.00;-0.00;0.00
2.486;0.02;0.00;1.00;0.01;-0.00;0.00;-0.00;0.00;0.00;0.00
2.496;0.02;0.00;1.00;-0.01;-0.00;-0.00;-0.00;0.00;0.00;0.00
2.547;0.02;0.00;1.00;-0.01;-0.00;-0.00;0.00;0.00;0.00;0.00
2.549;0.02;0.00;1.00;-0.01;-0.00;-0.00;0.00;0.00;0.00;0.00
2.55;0.02;0.00;1.00;-0.01;-0.00;-0.00;0.00;0.00;0.00;0.00
2.551;0.02;0.00;1.00;-0.01;-0.00;-0.00;0.00;0.00;0.00;0.00
2.556;0.02;0.00;1.00;-0.00;-0.00;0.01;0.00;0.00;0.00;0.00
2.607;0.02;0.00;1.00;-0.00;-0.00;0.01;0.00;-0.00;-0.00;0.00
2.62;0.02;0.00;1.00;-0.00;-0.00;0.01;0.00;-0.00;-0.00;0.00
2.621;0.02;0.00;1.00;-0.00;-0.00;0.01;0.00;-0.00;-0.00;0.00
2.622;0.03;0.01;1.00;-0.00;-0.00;0.01;0.00;-0.00;-0.00;0.00
2.623;0.02;0.00;1.00;-0.00;-0.00;0.01;0.00;-0.00;-0.00;0.00
2.624;0.02;0.00;1.00;-0.00;-0.00;0.01;0.00;-0.00;-0.00;0.00
2.667;0.02;0.00;1.00;-0.00;-0.00;0.01;0.00;-0.00;0.00;0.00
2.677;0.02;0.00;1.00;0.01;0.00;-0.00;0.00;-0.00;0.00;0.00
2.689;0.02;0.00;1.00;0.01;0.00;-0.00;0.00;-0.00;0.00;0.00
2.69;0.02;0.00;1.00;0.01;0.00;-0.00;0.00;-0.00;0.00;0.00
2.691;0.02;0.01;1.00;0.01;0.00;-0.00;0.00;-0.00;0.00;0.00
2.727;0.02;0.01;1.00;0.01;0.00;-0.00;0.00;-0.00;-0.00;0.00
2.738;0.02;0.01;1.00;0.00;0.00;-0.00;0.00;-0.00;-0.00;0.00
2.762;0.03;0.00;1.00;0.00;0.00;-0.00;0.00;-0.00;-0.00;0.00
2.763;0.02;0.00;1.00;0.00;0.00;-0.00;0.00;-0.00;-0.00;0.00
2.764;0.03;0.00;1.00;0.00;0.00;-0.00;0.00;-0.00;-0.00;0.00
2.764;0.03;0.00;1.00;0.00;0.00;-0.00;0.00;-0.00;-0.00;0.00
2.789;0.03;0.00;1.00;0.00;0.00;-0.00;-0.00;-0.00;0.00;0.00
2.797;0.03;0.00;1.00;0.01;-0.00;0.00;-0.00;-0.00;0.00;0.00
2.828;0.02;0.00;1.00;0.01;-0.00;0.00;-0.00;-0.00;0.00;0.00
2.83;0.02;0.00;1.00;0.01;-0.00;0.00;-0.00;-0.00;0.00;0.00
2.831;0.02;0.00;1.00;0.01;-0.00;0.00;-0.00;-0.00;0.00;0.00
2.848;0.02;0.00;1.00;0.01;-0.00;0.00;0.00;-0.00;0.00;0.00
2.858;0.02;0.00;1.00;-0.00;-0.00;-0.02;0.00;-0.00;0.00;0.00
2.9;0.02;0.00;1.00;-0.00;-0.00;-0.02;0.00;-0.00;0.00;0.00
2.902;0.02;0.00;1.00;-0.00;-0.00;-0.02;0.00;-0.00;0.00;0.00
2.903;0.02;0.00;1.00;-0.00;-0.00;-0.02;0.00;-0.00;0.00;0.00
2.904;0.02;0.00;1.00;-0.00;-0.00;-0.02;0.00;-0.00;0.00;0.00
2.908;0.02;0.00;1.00;-0.00;-0.00;-0.02;-0.00;-0.00;0.00;0.00
2.921;0.02;0.00;1.00;0.00;-0.00;0.01;-0.00;-0.00;0.00;0.00
2.968;0.02;0.00;1.00;0.00;-0.00;0.01;-0.00;-0.00;0.00;0.00
2.97;0.02;0.01;1.00;0.00;-0.00;0.01;-0.00;-0.00;0.00;0.00
2.971;0.02;0.00;1.00;0.00;-0.00;0.01;-0.00;-0.00;0.00;0.00
2.972;0.02;0.00;1.00;0.00;-0.00;0.01;-0.00;-0.00;0.00;0.00
2.979;0.02;0.00;1.00;0.00;0.00;0.01;-0.00;-0.00;0.00;0.00
3.029;0.02;0.00;1.00;0.00;0.00;0.01;0.00;0.00;0.00;0.00
3.039;0.02;0.00;1.00;0.00;0.00;0.01;0.00;0.00;0.00;0.00
3.04;0.02;0.00;1.00;0.00;0.00;0.01;0.00;0.00;0.00;0.00
3.04;0.02;0.00;1.00;0.00;0.00;0.01;0.00;0.00;0.00;0.00
